boxNumber,route,name,address,postcode,contactNumber,contactName,collectionFrequency,prevCollection,nextCollection,nextCollection2,nextCollectionFormula,nextCollection3,FILTERMONTHHERE,currentYearTotal,notes
FR081,3,The George,"Church Street, Nunney",BA11 4LW,,,6,Jul-19,,,1,1,January,,
FR174,,Zone 5 Frome Medical Centre Tulip,"Enos Way, Frome",BA11 2PH,,,6,Jul-19,,,1,1,January,,James Eyre Tulip Fund
FR037,6,The Red Lion,"Bath Road, Woolverton",BA2 7QS,01373 830 350,,3,Oct-19,,,1,1,January,,
FR093,,The Kingfisher Fish & Chip Shop,"6 Badcox, Frome",BA11 3BQ,,,3,Oct-19,,,1,1,January,,
FR187,,The Artisan,"6 Christchurch St West, Frome",BA11 1EQ,,,3,Oct-19,,,1,1,January,,Events
FR009,1,The Bell Inn,"Rudge Road, Standerwick",BA11 2PT,01373 830 413,,2,Nov-19,,,1,1,January,,
FR010,1,Mole Valley Farmers,"Berkeley St, Standerwick",BA11 2PN,01373 831 114,,2,Nov-19,,,1,1,January,,
FR200,2,Budgens Supermarket,"Commerce Park, Frome",BA11 2RY,,Alex,2,Nov-19,,,1,1,January,,"3 Boxes. Will call for collection. Unit D3, Southgate"
FR004,6,The Woolpack Inn,"2 Warminster Rd, Beckington",BA11 6SP,,,2,Nov-19,,,1,1,January,,Events
FR078,7,Farleigh Service Station,A36,BA2 7TP,1225720239,Spencer or Pete Beckett,2,Nov-19,,,1,1,January,,
FR045,,Post Office Portway,"2 Portway, Frome",BA11 1QP,01373 467 294,,2,Nov-19,,,1,1,January,,
FR064,,Boots Chemist,"11 Market Place, Frome",BA11 1AB,01373 462 402,,2,Nov-19,,,1,1,January,,2 boxes
FR113,,Millers Home Stores,"6-8 Westway, Frome",BA11 1BS,,,2,Nov-19,,,1,1,January,,2 boxes
FR158,,Annette Gabberdey,"5 Catherine Hill, Frome",BA11 1BY,,,12,Feb-19,,,2,2,February,,
FR190,4,Co Operative Store,"1 Fortescue St, Norton St Phillip",BA2 7PE,,,4,Oct-19,,,2,2,February,,2 Boxes
FR164,1,White Row Farmshop,"Whiterow, Beckington",BA11 6TN,,,3,Nov-19,,,2,2,February,,4 boxes (FR165 + FR166 + FR167)
FR165,1,White Row Garden & Gift shop,"Whiterow, Beckington",BA11 6TN,,,3,Nov-19,,,2,2,February,,
FR166,1,White Row Café,"Whiterow, Beckington",BA11 6TN,,,3,Nov-19,,,2,2,February,,
FR167,1,White Row Fish & Chip Shop,"Whiterow, Beckington",BA11 6TN,,,3,Nov-19,,,2,2,February,,
FR202,2,Sydenhams Merch Builders,"14 Handlemaker Rd, Frome",BA11 4RW,,,3,Nov-19,,,2,2,February,,
FR112,5,Cross Keys Inn,"20 High St, Blatchbridge, Rode",BA11 6NZ,,,3,Nov-19,,,2,2,February,,
FR201,5,Post Office Rode,"32 High St, Rode",,,Graham,3,Nov-19,,,2,2,February,,
FR077,7,The Rose & Crown /Charterhouse Coffee,"High St, Hinton Charterhouse",BA2 7SN,,,3,Nov-19,,,2,2,February,,"Box for each site, Same number"
FR182,,Natwest,"4 Marketplace, Frome",BA11 1AE,,,6,Sep-19,,,3,3,March,,
